desc,url,github,jobs,languages
knewton,https://tech.knewton.com/,knewton,https://www.knewton.com/jobs/," haskell java javascript python ruby shell"
laterooms,http://engineering.laterooms.com/,lateroomsgroup,https://stackoverflow.com/jobs/companies/laterooms-com," c# coffeescript javascript php shell"
laurelandwolf,http://engineering.laurelandwolf.com/,laurelandwolf,https://jobs.lever.co/laurelandwolf/," html javascript ruby shell"
lendinghome,https://tech.lendinghome.com,lendinghome,https://www.lendinghome.com/careers," javascript python ruby shell"
life360,http://engineering.life360.com/,life360,https://www.life360.com/jobs/,"coffeescript go javascript objective-c php shell"
line,https://engineering.linecorp.com/ja/,linecorp,https://engineering.linecorp.com/ja/careers,"c++ go java objective-c php perl python ruby"
linkedin,https://engineering.linkedin.com/blog,linkedin,https://engineering.linkedin.com/jobs,"go groovy html java javascript swift"
linode,https://engineering.linode.com/,linode,https://www.linode.com/careers#," css html javascript perl python ruby"
livingsocial,https://techblog.livingsocial.com/,livingsocial,http://jobs.livingsocial.com/all-jobs/," clojure java ruby"
localytics,http://eng.localytics.com/,localytics,https://boards.greenhouse.io/localytics,"c# java javascript objective-c ruby scala"
loginradius,https://www.loginradius.com/engineering,loginradius,https://www.loginradius.com/careers,"c# css javascript objective-c php python ruby"
lookout,http://hackers.lookout.com/,lookout,https://www.lookout.com/about/careers/jobs," c css go groovy java ruby scala"
lyft,https://medium.com/m/global-identity?redirectUrl=https%3A%2F%2Feng.lyft.com%2F,lyft,https://www.lyft.com/jobs,"java python swift"
lyst,http://developers.lyst.com/,ssaw,https://www.lyst.com/careers," javascript objective-c python"
mailchimp,http://devs.mailchimp.com/blog/,mailchimp,http://mailchimp.com/about/jobs/," css javascript objective-c php python ruby"
mayvenn,http://engineering.mayvenn.com/,mayvenn,https://jobs.mayvenn.com/recruit/Portal.na," clojure ruby scala"
mdsol,http://techblog.mdsol.com/,mdsol,https://www.mdsol.com/en/careers," c# cucumber go java javascript r ruby"
medallia,http://engineering.medallia.com/blog/,medallia,http://www.medallia.com/careers/," go html java javascript scala shell"
medium,https://medium.engineering/,medium,https://medium.com/@Medium/engineering-a231458a0976," go javascript"
"meet me",http://engineering.meetme.com/,meetme,http://www.meetme.com/apps/careers,"c java javascript php python ruby"
meetup,http://making.meetup.com/,meetup,http://www.meetup.com/jobs/#open-positions," css java javascript makefile python ruby scala"
meltwater,http://underthehood.meltwater.com/,meltwater,https://www.meltwater.com/about/careers," go html java javascript puppet python ruby shell"
mercari,http://tech.mercari.com/,mercari,https://gb.wantedly.com/companies/mercariapp-com,"go java php"
microsoft,http://engineering.microsoft.com/,microsoft,https://careers.microsoft.com/search.aspx," c# c++ java typescript"
mixlr,http://tech.mixlr.com/,mixlr,http://tech.mixlr.com/jobs/,"c c++ css coffeescript go html javascript objective-c ruby"
modus,http://moduscreate.com/blog/,moduscreateorg,http://moduscreate.com/careers/," javascript objective-c shell swift"
monetate,http://engineering.monetate.com/,monetate,http://www.monetate.com/about/careers,"c c++ go html java python scala shell"
mongodb,https://engineering.mongodb.com/,mongodb,https://www.mongodb.com/careers/positions?office=All%20Offices&department=Engineering,"c# c++ go java php python ruby scala"
monsanto,http://engineering.monsanto.com/,monsantoco,http://engineering.monsanto.com/contact/," coffeescript html java javascript lua scala shell"
moz,http://moz.com/devblog/,seomoz,https://moz.com/about/jobs,"c++ elixir java python ruby"
netflix,http://techblog.netflix.com/,netflix,https://jobs.netflix.com/category/4/jobs,"c go html java javascript scala"
netlify,http://purple.netlify.com/,netlify,https://www.netlify.com/careers/,"go html javascript ruby shell"
nextdoor,https://medium.com/m/global-identity?redirectUrl=https%3A%2F%2Fengblog.nextdoor.com%2F,nextdoor,https://nextdoor.com/jobs/,"c css objective-c puppet python ruby shell"
noredink,http://tech.noredink.com/,noredink,https://www.noredink.com/jobs," elixir elm javascript python ruby"
"ny times",http://developers.nytimes.com/,nytimes,http://www.nytimes.com/glogin?URI=http%3A%2F%2Fdevelopers.nytimes.com%2Fcareers%3F_r%3D0," go javascript objective-c protocol buffer python ruby"
olery,http://developer.olery.com/,olery,http://www.olery.com/jobs/," javascript ruby"
ooyala,http://engineering.ooyala.com/,ooyala,http://www.ooyala.com/company/careers,"go java javascript ruby scala"
opendns,https://blog.opendns.com/blog,opendns,https://careers.opendns.com/," c c# css groff javascript php python typescript visual basic"
"opentable uk",http://tech.opentable.co.uk/,opentable,http://www.opentable.com/careers/,"coffeescript go java javascript puppet ruby scala"
otobank,http://engineering.otobank.co.jp/,otobank,https://jp.stanby.com/ats/otobank/jobs," coffeescript html javascript php"
otto-de,https://dev.otto.de/,otto-de,https://www.otto.de/unternehmen/jobs/Fachbereiche/softwareentwicklung.php," clojure java python ruby"
outbrain,http://techblog.outbrain.com/,outbrain,http://outbrain.mytribehr.com/careers/," go html java javascript php ruby"
oyster,http://tech.oyster.com/,oysterhotels,http://jobs.oyster.com/,"css python"
paperlesspost,https://dev.paperlesspost.com/,paperlesspost,https://www.paperlesspost.com/about/jobs," c++ go javascript ruby"
paypal,https://www.paypal-engineering.com/,paypal,https://www.paypal.com/us/webapps/mpp/jobs," c# c++ html java javascript php ruby scala"
pinterest,https://engineering.pinterest.com/,pinterest,https://about.pinterest.com/en/careers/engineering,"elixir go java javascript objective-c python"
pivotal,http://engineering.pivotal.io/,pivotal,https://pivotal.io/careers,"css html java javascript objective-c++ ruby viml"
plumbee,http://engineering.plumbee.com/,plumbee,https://www.plumbee.com/jobs/,"actionscript clojure java python shell"
podio,https://medium.com/podio-engineering-blog,podio,https://company.podio.com/jobs,"c# java javascript objective-c php python ruby"
polyvore,http://engblog.polyvore.com/,polyvore,http://www.polyvore.com/cgi/about.jobs," java javascript perl puppet python"
